date,station,AWND,AWNDattr,FMTM,FMTMattr,PRCP,PRCPattr,SNOW,SNOWattr,SNWD,SNWDattr,TMAX,TMAXattr,TMIN,TMINattr,WDF2,WDF2attr,WESD,WESDattr,WSF2,WSF2attr,WT01,WT01attr,WT07,WT07attr,WT08,WT08attr,WT13,WT13attr,WT16,WT16attr,PGTM,PGTMattr,WDF5,WDF5attr,WSF5,WSF5attr,WT02,WT02attr,WT09,WT09attr,WT05,WT05attr,WT03,WT03attr,WT14,WT14attr,WT18,WT18attr,WT17,WT17attr,WT19,WT19attr,WT11,WT11attr,WT22,WT22attr,WT04,WT04attr,WT06,WT06attr,TAVG,TAVGattr
2010-06-19,,39,",,W,",1626,",,X,",0,",,0,2400",0,",,0,",0,",,0,",289,",,0,2400",139,",,0,2400",180,",,X,",0,",,0,",103,",,X,",,,,,,,,,,,1626,",,W,",180,",,X,",130,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-20,,26,",,W,",1456,",,X,",0,"T,,0,2400",0,",,0,",0,",,0,",283,",,0,2400",178,",,0,2400",310,",,X,",0,",,0,",94,",,X,",,,,,,,,,1,",,X,",1456,",,W,",300,",,X,",125,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-21,,27,",,W,",1128,",,X,",0,",,0,2400",0,",,0,",0,",,0,",294,",,0,2400",167,",,0,2400",340,",,X,",0,",,0,",72,",,X,",,,,,,,,,,,1540,",,W,",360,",,X,",98,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-22,,19,",,W,",1537,",,X,",0,",,0,2400",0,",,0,",0,",,0,",267,",,0,2400",133,",,0,2400",180,",,X,",0,",,0,",54,",,X,",,,,,,,,,,,824,",,W,",10,",,X,",80,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-23,,13,",,W,",1724,",,X,",61,",,0,2400",0,",,0,",0,",,0,",261,",,0,2400",167,",,0,2400",90,",,X,",0,",,0,",107,",,X,",1,",,W,",,,,,1,",,X,",1,",,X,",1729,",,W,",80,",,X,",116,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-24,,29,",,W,",1346,",,X,",48,",,0,2400",0,",,0,",0,",,0,",300,",,0,2400",172,",,0,2400",220,",,X,",0,",,0,",94,",,X,",1,",,0,",,,,,1,",,X,",1,",,X,",1355,",,W,",300,",,X,",139,",,X,",,,,,1,",,0,",1,",,X,",,,,,,,,,,,,,,,,,,
2010-06-25,,22,",,W,",554,",,X,",0,",,0,2400",0,",,0,",0,",,0,",261,",,0,2400",139,",,0,2400",10,",,X,",0,",,0,",67,",,X,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-26,,26,",,W,",1458,",,X,",0,",,0,2400",0,",,0,",0,",,0,",250,",,0,2400",144,",,0,2400",280,",,Z,",0,",,0,",72,",,Z,",,,,,,,,,,,526,",,W,",280,",,Z,",103,",,Z,",,,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-27,,14,",,W,",1554,",,X,",58,",,0,2400",0,",,0,",0,",,0,",222,",,0,2400",167,",,0,2400",160,",,X,",0,",,0,",36,",,X,",1,",,W,",,,,,1,",,X,",1,",,X,",1553,",,W,",150,",,X,",45,",,X,",,,,,1,",,0,",,,,,,,,,,,,,,,,,,,,
2010-06-28,,26,",,W,",1339,",,X,",81,",,0,2400",0,",,0,",0,",,0,",283,",,0,2400",156,",,0,2400",240,",,X,",0,",,0,",67,",,X,",1,",,X,",1,",,0,",1,",,X,",,,1,",,X,",1338,",,W,",250,",,X,",98,",,X,",1,",,X,",1,",,0,",1,",,0,",,,,,,,,,,,,,,,,,,,,
