site,thedate,type,taskcode,Calcium,Magnesium,Potassium,Sodium,CHLORIDE (AS Cl),"Chloride, Calculated",Hardness (As CaCO3),Salinity (from sodium),Specific Conductivity,Total Dissolved Solids
S01,2015-09-11T09:10:00Z,N,Baseflow,47,10300,NA,NA,520,NA,160,NA,NA,NA
S01,2011-09-12T11:15:00Z,N,Baseflow,32,7.2,7,200,340,384.95,110,NA,1390,0.89
S01,2011-09-12T11:20:00Z,N,Baseflow,32,7.3,7.2,200,340,NA,110,NA,NA,NA
S01,2012-09-14T07:40:00Z,N,Baseflow,NA,NA,NA,NA,340,387.788,120,0.7,1400,0.894
S01,2012-09-14T07:45:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,120,NA,NA,NA
S01,2012-09-14T07:45:00Z,N,Baseflow,NA,NA,NA,NA,340,NA,NA,NA,NA,NA
S01,2018-09-17T11:07:00Z,N,Baseflow,NA,NA,NA,NA,NA,489.956,NA,NA,1760,NA
S01,2018-09-17T11:08:00Z,N,Baseflow,NA,NA,NA,NA,500,NA,130,NA,NA,NA
S01,2018-09-17T11:09:00Z,N,Baseflow,NA,NA,NA,NA,NA,490.5236,NA,NA,1762,NA
S01,2018-09-17T11:11:00Z,N,Baseflow,NA,NA,NA,NA,NA,491.0912,NA,NA,1764,NA
S01,2015-09-18T09:15:00Z,N,Baseflow,44.4,9060,NA,NA,530,NA,148,NA,NA,NA
S01,2015-09-18T09:20:00Z,FD,Baseflow,45.2,9210,NA,NA,NA,NA,151,NA,NA,NA
S01,2015-09-18T09:20:00Z,N,Baseflow,NA,NA,NA,NA,520,NA,NA,NA,NA,NA
S01,2016-09-02T17:10:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,142,NA,NA,NA
S01,2016-09-02T17:10:00Z,N,Baseflow,NA,NA,NA,NA,450,NA,NA,NA,NA,NA
S01,2016-09-02T17:15:00Z,N,Baseflow,NA,NA,NA,NA,460,NA,145,NA,NA,NA
S01,2016-09-02T17:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,226.3058,NA,NA,831,NA
S01,2016-09-02T17:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,226.5896,NA,NA,832,NA
S01,2016-09-02T17:40:00Z,N,Baseflow,NA,NA,NA,NA,NA,226.8734,NA,NA,833,NA
S01,2017-09-24T08:04:00Z,N,Baseflow,NA,NA,NA,NA,NA,671.588,NA,NA,2400,NA
S01,2017-09-24T08:05:00Z,N,Baseflow,NA,NA,NA,NA,700,NA,170,NA,NA,NA
S01,2017-09-24T08:07:00Z,N,Baseflow,NA,NA,NA,NA,NA,670.4528,NA,NA,2396,NA
S01,2017-09-24T08:09:00Z,N,Baseflow,NA,NA,NA,NA,NA,670.4528,NA,NA,2396,NA
S01,2013-09-26T08:50:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-09-26T08:50:00Z,N,Baseflow,35.8,7.76,NA,NA,390,NA,121,NA,NA,NA
S01,2013-09-26T08:55:00Z,FD,Baseflow,36.5,7.91,NA,NA,NA,NA,124,NA,NA,NA
S01,2013-09-26T08:55:00Z,N,Baseflow,NA,NA,NA,NA,380,NA,NA,NA,NA,NA
S01,2014-09-26T13:15:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,139,NA,NA,NA
S01,2014-09-26T13:15:00Z,N,Baseflow,39.5,9.02,NA,NA,490,436.034,136,NA,1570,NA
S01,2012-02-17T09:35:00Z,N,Spring Melt,NA,NA,NA,NA,600,558.068,NA,NA,2000,NA
S01,2012-02-17T09:40:00Z,N,Spring Melt,NA,NA,NA,NA,590,558.068,NA,NA,2000,NA
S01,2017-02-19T10:15:00Z,N,Spring Melt,NA,NA,NA,NA,420,NA,NA,NA,NA,NA
S01,2017-02-19T10:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA,392.045,NA,NA,1415,NA
S01,2017-02-19T10:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA,390.9098,NA,NA,1411,NA
S01,2017-02-19T10:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,388.3556,NA,NA,1402,NA
S01,2018-02-21T15:26:00Z,N,Spring Melt,NA,NA,NA,NA,NA,771.4856,NA,NA,2752,NA
S01,2018-02-21T15:28:00Z,N,Spring Melt,NA,NA,NA,NA,NA,767.5124,NA,NA,2738,NA
S01,2018-02-21T15:30:00Z,N,Spring Melt,NA,NA,NA,NA,870,766.0934,NA,NA,2733,NA
S01,2018-02-27T08:39:00Z,N,Spring Melt,NA,NA,NA,NA,NA,786.527,NA,NA,2805,NA
S01,2018-02-27T08:44:00Z,N,Spring Melt,NA,NA,NA,NA,NA,787.3784,NA,NA,2808,NA
S01,2018-02-27T08:49:00Z,N,Spring Melt,NA,NA,NA,NA,NA,788.5136,NA,NA,2812,NA
S01,2018-02-27T08:53:00Z,N,Spring Melt,NA,NA,NA,NA,910,NA,NA,NA,NA,NA
S01,2017-03-01T10:25:00Z,N,Spring Melt,NA,NA,NA,NA,320,NA,NA,NA,NA,NA
S01,2017-03-01T10:27:00Z,N,Spring Melt,NA,NA,NA,NA,NA,298.6748,NA,NA,1086,NA
S01,2017-03-01T10:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,292.715,NA,NA,1065,NA
S01,2017-03-01T10:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,292.1474,NA,NA,1063,NA
S01,2013-03-13T11:15:00Z,N,Spring Melt,NA,NA,NA,NA,230,246.1718,48,0.4,901,NA
S01,2019-03-13T15:38:00Z,N,Spring Melt,NA,NA,NA,NA,NA,1001.6474,NA,NA,3563,NA
S01,2019-03-13T15:40:00Z,N,Spring Melt,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA
S01,2019-03-13T15:41:00Z,N,Spring Melt,NA,NA,NA,NA,1100,NA,NA,NA,NA,NA
S01,2012-03-14T09:45:00Z,N,Spring Melt,NA,NA,NA,NA,440,470.09,NA,NA,1690,1.08
S01,2014-03-14T12:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,130,NA,NA,NA
S01,2014-03-14T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,840,NA,130,NA,NA,NA
S01,2019-03-15T14:37:00Z,N,Spring Melt,NA,NA,NA,NA,NA,548.7026,NA,NA,1967,NA
S01,2019-03-15T14:38:00Z,N,Spring Melt,NA,NA,NA,NA,600,NA,NA,NA,NA,NA
S01,2012-03-16T13:50:00Z,N,Spring Melt,NA,NA,NA,NA,480,489.956,NA,0.9,1760,1.13
S01,2012-03-16T13:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-03-16T13:55:00Z,N,Spring Melt,NA,NA,NA,NA,470,NA,NA,NA,NA,NA
S01,2017-03-17T12:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,125.8406,NA,NA,477,NA
S01,2017-03-17T12:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,126.692,NA,NA,480,NA
S01,2017-03-17T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,120,NA,NA,NA,NA,NA
S01,2014-03-20T13:40:00Z,FD,Spring Melt,NA,NA,NA,NA,NA,NA,66,NA,NA,NA
S01,2014-03-20T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,660,543.878,64,NA,1950,NA
S01,2012-03-22T09:20:00Z,N,Spring Melt,NA,NA,NA,NA,560,552.392,NA,1,1980,1.27
