site,thedate,type,taskcode,Calcium,Magnesium,Potassium,Sodium,CHLORIDE (AS Cl),"Chloride, Calculated",Hardness (As CaCO3),Salinity (from sodium),Specific Conductivity,Total Dissolved Solids
S01,2010-11-15T13:20:00Z,N,Baseflow,NA,NA,NA,NA,240,NA,NA,NA,NA,NA
S01,2012-11-29T07:55:00Z,N,Baseflow,NA,NA,NA,NA,280,NA,1,NA,NA,NA
S01,2011-11-30T09:35:00Z,N,Stormwater,NA,NA,NA,NA,200,NA,1,NA,NA,NA
S01,2011-11-09T14:40:00Z,N,Baseflow,NA,NA,NA,NA,260,319.676,1,NA,1160,0
S01,2012-02-17T10:00:00Z,N,Spring Melt,NA,NA,NA,NA,450,472.928,NA,NA,1700,NA
S01,2017-02-19T12:00:00Z,N,Spring Melt,NA,NA,NA,NA,830,NA,NA,NA,NA,NA
S01,2017-02-19T12:07:00Z,N,Spring Melt,NA,NA,NA,NA,NA,833.6378,NA,NA,2971,NA
S01,2017-02-19T12:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA,833.6378,NA,NA,2971,NA
S01,2018-02-21T16:02:00Z,N,Spring Melt,NA,NA,NA,NA,NA,516.6332,NA,NA,1854,NA
S01,2018-02-21T16:04:00Z,N,Spring Melt,NA,NA,NA,NA,NA,515.7818,NA,NA,1851,NA
S01,2018-02-21T16:05:00Z,N,Spring Melt,NA,NA,NA,NA,560,NA,NA,NA,NA,NA
S01,2018-02-21T16:06:00Z,N,Spring Melt,NA,NA,NA,NA,NA,515.498,NA,NA,1850,NA
S01,2018-02-27T09:29:00Z,N,Spring Melt,NA,NA,NA,NA,NA,800.1494,NA,NA,2853,NA
S01,2018-02-27T09:32:00Z,N,Spring Melt,NA,NA,NA,NA,NA,799.8656,NA,NA,2852,NA
S01,2018-02-27T09:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA,800.1494,NA,NA,2853,NA
S01,2018-02-27T09:37:00Z,N,Spring Melt,NA,NA,NA,NA,890,NA,NA,NA,NA,NA
S01,2017-03-01T13:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA,461.2922,NA,NA,1659,NA
S01,2017-03-01T13:35:00Z,N,Spring Melt,NA,NA,NA,NA,490,NA,NA,NA,NA,NA
S01,2017-03-01T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA,461.2922,NA,NA,1659,NA
S01,2013-03-13T12:30:00Z,N,Spring Melt,NA,NA,NA,NA,270,298.6748,1,0,1086,NA
S01,2019-03-13T16:19:00Z,N,Spring Melt,NA,NA,NA,NA,NA,663.3578,NA,NA,2371,NA
S01,2019-03-13T16:20:00Z,N,Spring Melt,NA,NA,NA,NA,690,NA,NA,NA,NA,NA
S01,2012-03-14T10:20:00Z,N,Spring Melt,NA,NA,NA,NA,440,470.09,NA,NA,1690,1
S01,2014-03-14T13:57:00Z,N,Spring Melt,NA,NA,NA,NA,1000,NA,1,NA,NA,NA
S01,2019-03-15T15:10:00Z,N,Spring Melt,NA,NA,NA,NA,NA,368.7734,NA,NA,1333,NA
S01,2019-03-15T15:11:00Z,N,Spring Melt,NA,NA,NA,NA,370,NA,NA,NA,NA,NA
S01,2012-03-16T14:35:00Z,N,Spring Melt,NA,NA,NA,NA,510,529.688,NA,0,1900,1
S01,2017-03-17T14:40:00Z,N,Spring Melt,NA,NA,NA,NA,440,NA,NA,NA,NA,NA
S01,2017-03-17T14:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,445.6832,NA,NA,1604,NA
S01,2017-03-17T14:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,445.3994,NA,NA,1603,NA
S01,2014-03-20T14:13:00Z,N,Spring Melt,NA,NA,NA,NA,460,424.682,1,NA,1530,NA
S01,2012-03-22T10:00:00Z,N,Spring Melt,NA,NA,NA,NA,470,498.47,NA,0,1790,1
S01,2011-03-24T09:55:00Z,N,Baseflow,NA,NA,NA,NA,610,617.0984,NA,NA,2208,NA
S01,2019-03-24T17:14:00Z,N,Spring Melt,NA,NA,NA,NA,NA,603.476,NA,NA,2160,NA
S01,2019-03-24T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,670,NA,NA,NA,NA,NA
S01,2013-03-28T13:05:00Z,N,Spring Melt,NA,NA,NA,NA,490,526.85,1,0,1890,1
S01,2014-03-28T13:45:00Z,N,Spring Melt,NA,NA,NA,NA,690,819.164,1,NA,2920,NA
S01,2018-03-28T17:12:00Z,N,Spring Melt,NA,NA,NA,NA,NA,506.4164,NA,NA,1818,NA
S01,2018-03-28T17:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA,501.5918,NA,NA,1801,NA
S01,2018-03-28T17:18:00Z,N,Spring Melt,NA,NA,NA,NA,NA,496.4834,NA,NA,1783,NA
S01,2018-03-28T17:19:00Z,N,Spring Melt,NA,NA,NA,NA,520,NA,NA,NA,NA,NA
S01,2019-03-29T08:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA,670.7366,NA,NA,2397,NA
S01,2019-03-29T09:00:00Z,N,Spring Melt,NA,NA,NA,NA,730,NA,NA,NA,NA,NA
S01,2011-03-31T09:30:00Z,N,Baseflow,NA,NA,NA,NA,620,631.0046,NA,NA,2257,NA
S01,2013-03-06T12:50:00Z,N,Spring Melt,NA,NA,NA,NA,490,47.5118,1,1,201,1
S01,2018-03-06T14:20:00Z,N,Spring Melt,NA,NA,NA,NA,970,NA,NA,NA,NA,NA
S01,2018-03-06T14:21:00Z,N,Spring Melt,NA,NA,NA,NA,970,NA,NA,NA,NA,NA
S01,2018-03-06T14:22:00Z,N,Spring Melt,NA,NA,NA,NA,NA,823.7048,NA,NA,2936,NA
S01,2018-03-06T14:24:00Z,N,Spring Melt,NA,NA,NA,NA,NA,823.421,NA,NA,2935,NA
S01,2018-03-06T14:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA,823.1372,NA,NA,2934,NA
S01,2017-03-09T13:35:00Z,N,Spring Melt,NA,NA,NA,NA,460,478.0364,NA,NA,1718,NA
S01,2017-03-09T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA,478.604,NA,NA,1720,NA
S01,2011-04-11T12:15:00Z,N,Stormwater,NA,NA,NA,NA,140,149.396,NA,NA,560,0
S01,2012-04-19T11:20:00Z,N,Baseflow,NA,NA,NA,NA,580,629.018,NA,1,2250,1
S01,2013-04-02T10:20:00Z,N,Spring Melt,NA,NA,NA,NA,360,455.9,1,0,1640,1
S01,2011-04-05T10:10:00Z,N,Stormwater,NA,NA,NA,NA,440,450.224,NA,NA,1620,NA
S01,2014-04-08T13:57:00Z,N,Spring Melt,NA,NA,NA,NA,280,258.9428,1,NA,946,NA
S01,2017-05-01T13:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,345.218,NA,NA,1250,NA
S01,2017-05-01T13:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,346.3532,NA,NA,1254,NA
S01,2017-05-01T13:40:00Z,N,Baseflow,NA,NA,NA,NA,NA,346.3532,NA,NA,1254,NA
S01,2017-05-01T13:45:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2017-05-01T13:45:00Z,N,Baseflow,NA,NA,NA,NA,340,NA,1,NA,NA,NA
S01,2018-05-10T13:34:00Z,N,Baseflow,NA,NA,NA,NA,NA,719.2664,NA,NA,2568,NA
S01,2018-05-10T13:38:00Z,N,Baseflow,NA,NA,NA,NA,NA,718.6988,NA,NA,2566,NA
S01,2018-05-10T13:40:00Z,N,Baseflow,NA,NA,NA,NA,720,NA,1,NA,NA,NA
S01,2018-05-10T13:52:00Z,N,Baseflow,NA,NA,NA,NA,NA,718.1312,NA,NA,2564,NA
S01,2016-05-12T14:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,299.81,NA,NA,1090,NA
S01,2016-05-12T14:27:00Z,N,Baseflow,NA,NA,NA,NA,280,NA,1,NA,NA,NA
S01,2014-05-14T10:00:00Z,N,Baseflow,1,1,NA,NA,560,541.04,1,NA,1940,NA
S01,2011-05-16T10:45:00Z,N,Stormwater,NA,NA,NA,NA,NA,271.1462,NA,NA,989,0
S01,2011-05-16T00:00:00Z,N,Stormwater,NA,NA,NA,NA,540,526.85,1,NA,1890,1
S01,2018-05-19T18:00:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-05-21T12:29:00Z,N,Stormwater,NA,NA,NA,NA,NA,713.0228,NA,NA,2546,NA
S01,2018-05-21T12:30:00Z,N,Stormwater,NA,NA,NA,NA,760,NA,NA,NA,NA,NA
S01,2018-05-21T12:32:00Z,N,Stormwater,NA,NA,NA,NA,NA,709.901,NA,NA,2535,NA
S01,2018-05-21T12:35:00Z,N,Stormwater,NA,NA,NA,NA,740,NA,NA,NA,NA,NA
S01,2018-05-21T12:37:00Z,N,Stormwater,NA,NA,NA,NA,NA,704.225,NA,NA,2515,NA
S01,2013-05-29T09:00:00Z,N,Baseflow,NA,NA,NA,NA,380,413.33,1,0,1490,0
S01,2017-05-05T17:00:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2015-05-06T11:15:00Z,N,Baseflow,1,1,NA,NA,470,421.844,1,NA,1520,NA
S01,2017-05-07T12:35:00Z,N,Stormwater,NA,NA,NA,NA,NA,327.0548,NA,NA,1186,NA
S01,2017-05-07T12:38:00Z,N,Stormwater,NA,NA,NA,NA,330,NA,NA,NA,NA,NA
S01,2017-05-07T12:42:00Z,N,Stormwater,NA,NA,NA,NA,NA,327.0548,NA,NA,1186,NA
S01,2015-06-01T13:10:00Z,N,Stormwater,1,1,NA,NA,230,260.9294,1,NA,953,NA
S01,2019-06-10T10:30:00Z,N,Baseflow,NA,NA,NA,NA,490,NA,1,NA,NA,NA
S01,2012-06-12T09:30:00Z,N,Baseflow,NA,NA,NA,NA,320,379.274,NA,NA,1370,0
S01,2014-06-13T12:22:00Z,N,Stormwater,1,1,NA,NA,220,140.5982,1,NA,529,NA
S01,2013-06-20T09:10:00Z,N,Baseflow,NA,NA,NA,NA,370,450.224,1,0,1620,1
S01,2011-06-27T10:50:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2011-06-27T11:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,328.19,NA,NA,1190,0
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,210,NA,1,NA,NA,NA
S01,2016-06-07T12:50:00Z,N,Stormwater,NA,NA,NA,NA,NA,302.648,NA,NA,1100,NA
S01,2016-06-07T12:55:00Z,N,Stormwater,NA,NA,NA,NA,NA,299.81,NA,NA,1090,NA
S01,2011-07-13T09:55:00Z,N,Baseflow,NA,NA,NA,NA,400,481.442,1,NA,1730,1
S01,2012-07-13T11:30:00Z,N,Baseflow,NA,NA,NA,NA,370,424.682,NA,NA,1530,0
S01,2015-07-14T10:55:00Z,N,Baseflow,1,1,NA,NA,220,188.8442,1,NA,699,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,130,NA,1,NA,NA,NA
S01,2016-07-15T14:45:00Z,N,Stormwater,NA,NA,NA,NA,NA,208.1426,NA,NA,767,NA
S01,2016-07-15T14:50:00Z,N,Stormwater,NA,NA,NA,NA,NA,208.1426,NA,NA,767,NA
S01,2017-07-17T14:20:00Z,N,Baseflow,NA,NA,NA,NA,89,111.45194,1,NA,426.3,NA
S01,2017-07-17T14:25:00Z,N,Baseflow,NA,NA,NA,NA,NA,110.99786,NA,NA,424.7,NA
S01,2018-07-17T13:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-07-17T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2017-07-18T13:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2017-07-18T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-07-18T12:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,285.0524,NA,NA,1038,NA
S01,2018-07-18T12:01:00Z,N,Stormwater,NA,NA,NA,NA,NA,285.3362,NA,NA,1039,NA
S01,2018-07-18T12:03:00Z,N,Stormwater,NA,NA,NA,NA,270,285.62,NA,NA,1040,NA
S01,2017-07-19T12:49:00Z,N,Stormwater,NA,NA,NA,NA,NA,172.1,NA,NA,640,NA
S01,2017-07-19T12:52:00Z,N,Stormwater,NA,NA,NA,NA,150,171.8162,NA,NA,639,NA
S01,2017-07-19T12:55:00Z,N,Stormwater,NA,NA,NA,NA,NA,171.8162,NA,NA,639,NA
S01,2014-07-22T11:15:00Z,N,Baseflow,1,1,NA,NA,240,231.1304,1,NA,848,NA
S01,2012-07-26T14:20:00Z,N,Stormwater,NA,NA,NA,NA,29,37.8626,NA,NA,167,0
S01,2016-07-05T14:50:00Z,N,Baseflow,NA,NA,NA,NA,130,NA,1,NA,NA,NA
S01,2016-07-05T14:52:00Z,N,Baseflow,NA,NA,NA,NA,NA,156.491,NA,NA,585,NA
S01,2016-07-05T15:00:00Z,N,Baseflow,NA,NA,NA,NA,NA,156.491,NA,NA,585,NA
S01,2018-07-09T10:54:00Z,N,Baseflow,NA,NA,NA,NA,NA,600.9218,NA,NA,2151,NA
S01,2018-07-09T10:55:00Z,N,Baseflow,NA,NA,NA,NA,NA,598.3676,NA,NA,2142,NA
S01,2018-07-09T10:58:00Z,N,Baseflow,NA,NA,NA,NA,NA,596.381,NA,NA,2135,NA
S01,2018-07-09T11:00:00Z,N,Baseflow,NA,NA,NA,NA,610,NA,1,NA,NA,NA
S01,2013-08-01T13:00:00Z,N,Baseflow,1,1,NA,NA,290,NA,1,NA,NA,NA
S01,2011-08-10T17:50:00Z,N,Stormwater,NA,NA,NA,NA,280,226.8734,NA,NA,833,0
S01,2015-08-12T10:45:00Z,N,Stormwater,1,1,NA,NA,100,86.96,1,NA,340,NA
S01,2010-08-19T14:40:00Z,N,Baseflow,NA,NA,NA,NA,270,NA,NA,NA,NA,NA
S01,2013-08-02T10:50:00Z,N,Stormwater,1,1,NA,NA,150,NA,1,NA,NA,NA
S01,2011-08-25T11:15:00Z,N,Baseflow,NA,NA,NA,NA,300,359.408,1,NA,1300,0
S01,2010-09-01T11:15:00Z,N,Baseflow,NA,NA,NA,NA,310,NA,NA,NA,NA,NA
S01,2015-09-11T09:30:00Z,N,Stormwater,1,1,NA,NA,100,NA,1,NA,NA,NA
S01,2016-09-11T11:51:00Z,N,Stormwater,NA,NA,NA,NA,64,NA,1,NA,NA,NA
S01,2016-09-12T11:39:00Z,N,Stormwater,NA,NA,NA,NA,NA,94.055,NA,NA,365,NA
S01,2016-09-12T11:47:00Z,N,Stormwater,NA,NA,NA,NA,NA,93.4874,NA,NA,363,NA
S01,2011-09-13T10:00:00Z,N,Stormwater,NA,NA,NA,NA,260,NA,NA,NA,NA,NA
S01,2011-09-13T10:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2011-09-13T09:50:00Z,N,Baseflow,1,1,1,1,300,396.302,1,NA,1430,0
S01,2013-09-13T11:20:00Z,N,Stormwater,1,1,NA,NA,110,NA,1,NA,NA,NA
S01,2012-09-14T08:15:00Z,N,Baseflow,NA,NA,NA,NA,260,342.38,1,0,1240,0
S01,2018-09-17T12:19:00Z,N,Baseflow,NA,NA,NA,NA,NA,367.0706,NA,NA,1327,NA
S01,2018-09-17T12:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,367.0706,NA,NA,1327,NA
S01,2018-09-17T12:21:00Z,N,Baseflow,NA,NA,NA,NA,NA,366.7868,NA,NA,1326,NA
S01,2018-09-17T12:23:00Z,N,Baseflow,NA,NA,NA,NA,450,NA,1,NA,NA,NA
S01,2018-09-17T12:24:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-09-17T12:24:00Z,N,Baseflow,NA,NA,NA,NA,450,NA,NA,NA,NA,NA
S01,2015-09-18T10:00:00Z,N,Baseflow,1,1,NA,NA,100,NA,1,NA,NA,NA
S01,2018-09-18T09:51:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-09-18T09:51:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-09-19T11:11:00Z,N,Stormwater,NA,NA,NA,NA,NA,525.7148,NA,NA,1886,NA
S01,2018-09-19T11:12:00Z,N,Stormwater,NA,NA,NA,NA,NA,525.431,NA,NA,1885,NA
S01,2018-09-19T11:13:00Z,N,Stormwater,NA,NA,NA,NA,NA,525.1472,NA,NA,1884,NA
S01,2018-09-19T11:17:00Z,N,Stormwater,NA,NA,NA,NA,330,NA,NA,NA,NA,NA
S01,2016-09-02T14:40:00Z,N,Baseflow,NA,NA,NA,NA,68,NA,1,NA,NA,NA
S01,2016-09-02T14:48:00Z,N,Baseflow,NA,NA,NA,NA,NA,82.703,NA,NA,325,NA
S01,2016-09-02T15:00:00Z,N,Baseflow,NA,NA,NA,NA,NA,81.8516,NA,NA,322,NA
S01,2016-09-02T15:05:00Z,N,Baseflow,NA,NA,NA,NA,NA,81.284,NA,NA,320,NA
S01,2017-09-24T08:45:00Z,N,Baseflow,NA,NA,NA,NA,NA,105.46376,NA,NA,405.2,NA
S01,2017-09-24T08:48:00Z,N,Baseflow,NA,NA,NA,NA,NA,105.23672,NA,NA,404.4,NA
S01,2017-09-24T08:50:00Z,N,Baseflow,NA,NA,NA,NA,88,NA,1,NA,NA,NA
S01,2017-09-24T08:52:00Z,N,Baseflow,NA,NA,NA,NA,NA,105.20834,NA,NA,404.3,NA
S01,2013-09-26T09:45:00Z,N,Baseflow,1,1,NA,NA,280,NA,1,NA,NA,NA
S01,2014-09-26T13:40:00Z,N,Baseflow,1,1,NA,NA,150,142.5848,1,NA,536,NA
S01,2010-09-28T10:25:00Z,N,Stormwater,NA,NA,NA,NA,170,NA,NA,NA,NA,NA
S01,2010-09-28T10:30:00Z,N,Stormwater,NA,NA,NA,NA,170,NA,NA,NA,NA,NA
S01,2012-09-07T15:55:00Z,N,Stormwater,NA,NA,NA,NA,190,262.3484,1,NA,958,0
S01,2017-09-07T14:28:00Z,N,Stormwater,NA,NA,NA,NA,NA,265.4702,NA,NA,969,NA
S01,2017-09-07T14:31:00Z,N,Stormwater,NA,NA,NA,NA,NA,265.754,NA,NA,970,NA
S01,2017-09-07T14:34:00Z,N,Stormwater,NA,NA,NA,NA,NA,265.754,NA,NA,970,NA
S01,2017-09-07T14:45:00Z,N,Stormwater,NA,NA,NA,NA,250,NA,NA,NA,NA,NA
S01,2017-09-07T04:30:00Z,FD,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2017-09-07T04:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-10-11T15:23:00Z,N,Stormwater,NA,NA,NA,NA,400,410.492,NA,0.7,1480,0.946
S01,2010-10-15T10:50:00Z,N,Stormwater,NA,NA,NA,NA,33,NA,NA,NA,NA,NA
S01,2014-10-17T08:50:00Z,N,Stormwater,1,1,NA,NA,500,120.2774,1,NA,522,NA
S01,2010-10-21T13:45:00Z,N,Baseflow,NA,NA,NA,NA,290,NA,NA,NA,NA,NA
S01,2011-10-25T12:35:00Z,N,Stormwater,NA,NA,NA,NA,210,145.4228,1,NA,546,0.35
S01,2012-10-25T15:40:00Z,N,Baseflow,NA,NA,NA,NA,290,NA,1,NA,NA,NA
S01,2010-10-06T14:20:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-10-06T09:50:00Z,N,Stormwater,1,1,NA,NA,330,330.831,1,NA,1310,NA
S01,2010-11-15T12:10:00Z,N,Baseflow,NA,NA,NA,NA,270,NA,NA,NA,NA,NA
S01,2012-11-29T09:20:00Z,N,Baseflow,NA,NA,NA,NA,380,NA,1,NA,NA,NA
S01,2011-11-30T10:00:00Z,N,Stormwater,NA,NA,NA,NA,260,NA,1,NA,NA,NA
S01,2011-11-09T15:10:00Z,N,Baseflow,NA,NA,NA,NA,300,334.1498,1,NA,1211,0.772
S01,2012-02-17T09:50:00Z,N,Spring Melt,NA,NA,NA,NA,590,558.068,NA,NA,2000,NA
S01,2017-02-19T10:50:00Z,N,Spring Melt,NA,NA,NA,NA,350,NA,NA,NA,NA,NA
S01,2017-02-19T11:00:00Z,N,Spring Melt,NA,NA,NA,NA,NA,347.4884,NA,NA,1258,NA
S01,2017-02-19T11:05:00Z,N,Spring Melt,NA,NA,NA,NA,NA,347.4884,NA,NA,1258,NA
S01,2017-03-01T11:10:00Z,N,Spring Melt,NA,NA,NA,NA,240,NA,NA,NA,NA,NA
S01,2017-03-01T11:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA,241.9148,NA,NA,886,NA
S01,2017-03-01T11:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA,241.9148,NA,NA,886,NA
S01,2013-03-13T16:15:00Z,N,Spring Melt,NA,NA,NA,NA,270,293.2826,1,0.5,1067,NA
S01,2012-03-14T10:30:00Z,N,Spring Melt,NA,NA,NA,NA,490,515.498,NA,NA,1850,1.18
S01,2014-03-14T13:26:00Z,N,Spring Melt,NA,NA,NA,NA,910,NA,1,NA,NA,NA
S01,2012-03-16T14:05:00Z,N,Spring Melt,NA,NA,NA,NA,560,566.582,NA,1,2030,1.3
S01,2017-03-17T18:40:00Z,N,Spring Melt,NA,NA,NA,NA,100,NA,NA,NA,NA,NA
S01,2017-03-17T18:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA,103.988,NA,NA,400,NA
S01,2017-03-17T18:50:00Z,N,Spring Melt,NA,NA,NA,NA,NA,103.988,NA,NA,400,NA
S01,2014-03-20T13:54:00Z,N,Spring Melt,NA,NA,NA,NA,630,573.983,1,NA,2220,NA
S01,2012-03-22T10:10:00Z,N,Spring Melt,NA,NA,NA,NA,600,575.096,NA,1,2060,1.32
S01,2011-03-24T10:50:00Z,N,Baseflow,NA,NA,NA,NA,690,669.8852,NA,NA,2394,NA
S01,2013-03-28T13:25:00Z,N,Spring Melt,NA,NA,NA,NA,490,541.04,1,1,1940,1.24
S01,2014-03-28T13:05:00Z,N,Spring Melt,NA,NA,NA,NA,930,857.215,1,NA,3280,NA
S01,2011-03-31T09:55:00Z,N,Baseflow,NA,NA,NA,NA,NA,701.1032,NA,NA,2504,NA
S01,2013-03-06T13:10:00Z,N,Spring Melt,NA,NA,NA,NA,580,55.1744,1,1.1,228,1.46
S01,2017-03-09T12:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA,101.7176,NA,NA,392,NA
S01,2017-03-09T12:35:00Z,N,Spring Melt,NA,NA,NA,NA,150,151.9502,NA,NA,569,NA
S01,2011-04-11T11:45:00Z,N,Stormwater,NA,NA,NA,NA,NA,224.0354,NA,NA,823,0.53
S01,2012-04-19T12:00:00Z,N,Baseflow,NA,NA,NA,NA,710,739.7,NA,1.4,2640,1.69
S01,2013-04-02T10:35:00Z,N,Spring Melt,NA,NA,NA,NA,440,487.118,1,0.9,1750,1.12
S01,2011-04-05T10:20:00Z,N,Stormwater,NA,NA,NA,NA,NA,459.8732,NA,NA,1654,NA
S01,2014-04-08T13:35:00Z,N,Spring Melt,NA,NA,NA,NA,300,239.4486,1,NA,968,NA
S01,2017-05-01T18:21:00Z,N,Baseflow,NA,NA,NA,NA,NA,635.5454,NA,NA,2273,NA
S01,2017-05-01T18:24:00Z,N,Baseflow,NA,NA,NA,NA,NA,635.5454,NA,NA,2273,NA
S01,2017-05-01T18:25:00Z,N,Baseflow,NA,NA,NA,NA,630,NA,1,NA,NA,NA
S01,2017-05-01T18:27:00Z,N,Baseflow,NA,NA,NA,NA,NA,635.5454,NA,NA,2273,NA
S01,2018-05-10T12:37:00Z,N,Baseflow,NA,NA,NA,NA,NA,773.1884,NA,NA,2758,NA
S01,2018-05-10T12:39:00Z,N,Baseflow,NA,NA,NA,NA,NA,773.1884,NA,NA,2758,NA
S01,2018-05-10T12:40:00Z,N,Baseflow,NA,NA,NA,NA,820,NA,1,NA,NA,NA
S01,2018-05-10T12:42:00Z,N,Baseflow,NA,NA,NA,NA,NA,772.9046,NA,NA,2757,NA
S01,2016-05-12T13:25:00Z,N,Baseflow,NA,NA,NA,NA,NA,722.672,NA,NA,2580,NA
S01,2016-05-12T13:35:00Z,N,Baseflow,NA,NA,NA,NA,800,NA,1,NA,NA,NA
S01,2014-05-14T09:40:00Z,N,Baseflow,1,1,NA,NA,760,680.863,1,NA,2620,NA
S01,2011-05-16T10:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,213.251,1,NA,785,0.502
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2018-05-21T11:50:00Z,N,Stormwater,NA,NA,NA,NA,760,NA,NA,NA,NA,NA
S01,2018-05-21T11:52:00Z,N,Stormwater,NA,NA,NA,NA,NA,729.767,NA,NA,2605,NA
S01,2018-05-21T11:54:00Z,N,Stormwater,NA,NA,NA,NA,NA,729.767,NA,NA,2605,NA
S01,2018-05-21T11:57:00Z,N,Stormwater,NA,NA,NA,NA,NA,729.767,NA,NA,2605,NA
S01,2013-05-29T09:15:00Z,N,Baseflow,NA,NA,NA,NA,450,438.872,1,0.8,1580,1.01
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
S01,2015-05-06T10:40:00Z,N,Baseflow,1,1,NA,NA,990,1017.824,1,NA,3620,NA
S01,2017-05-07T11:55:00Z,N,Stormwater,NA,NA,NA,NA,NA,480.8744,NA,NA,1728,NA
S01,2017-05-07T11:57:00Z,N,Stormwater,NA,NA,NA,NA,510,NA,NA,NA,NA,NA
S01,2017-05-07T12:00:00Z,N,Stormwater,NA,NA,NA,NA,NA,481.442,NA,NA,1730,NA
S01,2015-06-01T13:00:00Z,N,Stormwater,1,1,NA,NA,440,225.7382,1,NA,829,NA
S01,2019-06-10T11:00:00Z,N,Baseflow,NA,NA,NA,NA,590,NA,1,NA,NA,NA
S01,2012-06-12T10:00:00Z,N,Baseflow,NA,NA,NA,NA,360,379.274,NA,NA,1370,0.88
S01,2014-06-13T12:01:00Z,N,Stormwater,1,1,NA,NA,390,408.319,1,NA,1600,NA
S01,2013-06-20T09:25:00Z,N,Baseflow,NA,NA,NA,NA,450,509.822,1,0.9,1830,1.17
S01,2011-06-27T11:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,365.084,NA,NA,1320,0.846
S01,2016-06-05T20:30:00Z,N,Stormwater,NA,NA,NA,NA,650,NA,1,NA,NA,NA
S01,2016-06-07T13:25:00Z,N,Stormwater,NA,NA,NA,NA,NA,447.386,NA,NA,1610,NA
S01,2016-06-07T13:30:00Z,N,Stormwater,NA,NA,NA,NA,NA,447.386,NA,NA,1610,NA
S01,2011-07-13T10:35:00Z,N,Baseflow,NA,NA,NA,NA,520,555.23,1,NA,1990,1.27
S01,2012-07-13T10:40:00Z,N,Baseflow,NA,NA,NA,NA,480,297.2558,NA,NA,1081,1.16
S01,2015-07-14T10:40:00Z,N,Baseflow,1,1,NA,NA,920,952.55,1,NA,3390,NA
S01,2016-07-14T22:30:00Z,N,Stormwater,NA,NA,NA,NA,450,NA,1,NA,NA,NA
