site,thedate,type,taskcode,Aluminum,Antimony,Arsenic,Barium,Beryllium,Cadmium,Chromium,Cobalt,Copper,Iron,Lead,Manganese,Mercury,Nickel,Selenium,Silver,Thallium,Vanadium,Zinc
S01,2015-07-14T10:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-07-17T12:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,5e-5,NA,NA,0.003,NA,NA,NA,NA,0.011
S01,2017-07-17T12:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,5e-5,NA,NA,0.002,NA,NA,NA,NA,0.01
S01,2017-07-17T12:25:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2017-07-17T12:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2014-07-22T10:25:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,NA,1.6e-4,NA,NA,0.0026,NA,NA,NA,NA,0.0058
S01,2014-07-22T10:25:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,1.2e-4,NA,NA,0.00228,NA,NA,NA,NA,0.0045
S01,2016-07-05T12:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.001,NA,5e-4,NA,NA,0.003,NA,NA,NA,NA,0.005
S01,2016-07-05T12:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2016-07-05T12:41:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-07-09T09:40:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0026,NA,1e-4,NA,NA,0.0017,NA,NA,NA,NA,0.0085
S01,2018-07-09T09:44:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-07-09T09:46:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-07-09T09:47:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-08-01T11:30:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0027,NA,1.9e-4,NA,NA,0.0021,NA,NA,NA,NA,0.0076
S01,2013-08-01T11:35:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2013-08-01T11:35:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0028,NA,1.8e-4,NA,NA,0.0021,NA,NA,NA,NA,0.0067
S01,2010-08-19T13:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0011,NA,2.5e-4,NA,NA,0.0017,NA,NA,NA,NA,0.0039
S01,2011-08-25T10:50:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0018,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0174
S01,2010-09-01T10:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,2.5e-4,NA,NA,0.0013,NA,2.5e-4,NA,NA,0.0023,NA,NA,NA,NA,0.0035
S01,2010-09-01T10:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2015-09-11T09:10:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0114,NA,0.00895,NA,NA,0.00826,NA,NA,NA,NA,0.158
S01,2011-09-12T11:15:00Z,N,Baseflow,0.04,0.005,0.002,0.03,2e-4,2e-5,0.001,0.001,0.0015,0.48,1e-4,0.126,NA,0.0018,0.0015,0.001,0.003,0.001,0.0165
S01,2011-09-12T11:20:00Z,N,Baseflow,0.05,0.005,0.001,0.029,2e-4,2e-5,0.001,0.001,0.0016,0.47,2e-4,0.124,5e-5,0.0019,0.0015,0.001,0.003,0.001,0.016
S01,2012-09-14T07:40:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,NA,1e-4,NA,NA,9e-4,NA,NA,NA,NA,0.022
S01,2012-09-14T07:45:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2012-09-14T07:45:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0012,NA,1e-4,NA,NA,8e-4,NA,NA,NA,NA,0.0196
S01,2018-09-17T11:07:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-09-17T11:08:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,2e-4,NA,NA,0.0018,NA,NA,NA,NA,0.0079
S01,2018-09-17T11:09:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2018-09-17T11:11:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2015-09-18T09:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0016,NA,1.9e-4,NA,NA,0.0023,NA,NA,NA,NA,0.005
S01,2015-09-18T09:20:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.0017,NA,1.5e-4,NA,NA,0.0022,NA,NA,NA,NA,0.0041
S01,2015-09-18T09:20:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2016-09-02T17:10:00Z,FD,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,5e-4,NA,NA,0.002,NA,NA,NA,NA,0.008
S01,2016-09-02T17:10:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S01,2016-09-02T17:15:00Z,N,Baseflow,NA,NA,NA,NA,NA,NA,NA,NA,0.002,NA,5e-4,NA,NA,0.002,NA,NA,NA,NA,0.007
