site,thedate,type,taskcode,Oxidation-Reduction Potential,pH,Turbidity,Dissolved Oxygen,Dissolved Oxygen Saturation
S01,2017-09-24T08:04:00Z,N,Baseflow,NA,NA,NA,6.36,66.5
S01,2017-09-24T08:05:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2017-09-24T08:07:00Z,N,Baseflow,NA,NA,NA,6.47,67.7
S01,2017-09-24T08:09:00Z,N,Baseflow,NA,NA,NA,6.39,66.7
S01,2013-09-26T08:50:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2013-09-26T08:50:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2013-09-26T08:55:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2013-09-26T08:55:00Z,N,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T13:15:00Z,FD,Baseflow,NA,NA,NA,NA,NA
S01,2014-09-26T13:15:00Z,N,Baseflow,128,7.09,0,8.04,NA
S01,2012-02-17T09:35:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-02-17T09:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T10:15:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-02-19T10:25:00Z,N,Spring Melt,121.6,7.16,32.45,NA,NA
S01,2017-02-19T10:30:00Z,N,Spring Melt,102.6,6.6,19.15,NA,NA
S01,2017-02-19T10:45:00Z,N,Spring Melt,102.6,6.87,NA,NA,NA
S01,2018-02-21T15:26:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T15:28:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-21T15:30:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T08:39:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T08:44:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T08:49:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-02-27T08:53:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T10:25:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-01T10:27:00Z,N,Spring Melt,91.6,7,16.85,NA,NA
S01,2017-03-01T10:45:00Z,N,Spring Melt,95.2,6.98,16.7,NA,NA
S01,2017-03-01T10:50:00Z,N,Spring Melt,93.6,6.97,NA,NA,NA
S01,2013-03-13T11:15:00Z,N,Spring Melt,NA,NA,NA,12.48,NA
S01,2019-03-13T15:38:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-13T15:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-13T15:41:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-14T09:45:00Z,N,Spring Melt,154,NA,11.6,7.25,NA
S01,2014-03-14T12:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-14T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T14:37:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-15T14:38:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T13:50:00Z,N,Spring Melt,64,NA,14.3,8.25,NA
S01,2012-03-16T13:55:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2012-03-16T13:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-17T12:45:00Z,N,Spring Melt,159.1,6.56,14.9,14.05,96.2
S01,2017-03-17T12:50:00Z,N,Spring Melt,151.5,6.6,15.5,13.97,95.6
S01,2017-03-17T12:55:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-20T13:40:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-20T13:40:00Z,N,Spring Melt,119,6.54,58.7,8.45,NA
S01,2012-03-22T09:20:00Z,N,Spring Melt,51,NA,20.6,6.53,NA
S01,2019-03-24T16:43:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-24T16:45:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T12:06:00Z,N,Spring Melt,124,3.48,8.9,9.35,NA
S01,2013-03-28T12:09:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-28T12:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-28T12:43:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2014-03-28T12:43:00Z,N,Spring Melt,61,7.91,1.1,9.86,NA
S01,2018-03-28T16:51:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T16:54:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T16:57:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-28T16:58:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2019-03-29T08:07:00Z,N,Spring Melt,NA,NA,NA,14.05,106.5
S01,2019-03-29T08:09:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-06T12:10:00Z,N,Spring Melt,15,NA,10,10.33,NA
S01,2013-03-06T12:20:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2013-03-06T12:20:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T13:36:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T13:39:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T13:40:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2018-03-06T13:41:00Z,N,Spring Melt,NA,NA,NA,NA,NA
S01,2017-03-09T12:00:00Z,N,Spring Melt,80.7,6.95,11.85,NA,NA
S01,2017-03-09T12:05:00Z,N,Spring Melt,80.5,6.96,11.95,NA,NA
S01,2013-04-02T09:55:00Z,N,Spring Melt,18,5.85,6.3,5.56,NA
S01,2014-04-08T13:25:00Z,FD,Spring Melt,NA,NA,NA,NA,NA
S01,2014-04-08T13:25:00Z,N,Spring Melt,107,7,27.3,9.92,NA
S01,2010-10-01T16:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-01T16:05:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-01T16:05:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2012-10-11T14:36:00Z,N,Stormwater,260,NA,14.1,5.96,NA
S01,2010-10-15T08:50:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-15T08:55:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2010-10-15T08:55:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T08:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-17T08:35:00Z,N,Stormwater,126,7.17,5,8.65,NA
S01,2011-10-25T11:00:00Z,N,Stormwater,236,7.2,11.2,10.96,NA
S01,2010-10-06T14:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-06T09:35:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2014-10-06T09:35:00Z,N,Stormwater,112,7.37,0,9.14,NA
S01,2011-11-30T09:10:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2011-04-11T12:25:00Z,N,Stormwater,199,6.86,74.5,9.51,NA
S01,2011-04-11T12:26:00Z,FD,Stormwater,199,NA,74.5,NA,NA
S01,2011-04-11T12:26:00Z,N,Stormwater,NA,6.86,NA,9.51,NA
S01,2011-04-05T08:30:00Z,N,Stormwater,73,7.25,8.4,11.5,NA
S01,2011-04-05T08:32:00Z,FD,Stormwater,73,NA,8.4,NA,NA
S01,2011-04-05T08:32:00Z,N,Stormwater,NA,7.25,NA,11.5,NA
S01,2011-05-16T00:00:00Z,N,Stormwater,189,6.98,49.5,11.09,NA
S01,2011-05-16T09:30:00Z,N,Stormwater,137,6.83,48.3,13.2,NA
S01,2018-05-19T18:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T11:34:00Z,N,Stormwater,NA,NA,NA,9.52,95
S01,2018-05-21T11:35:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2018-05-21T11:36:00Z,N,Stormwater,NA,NA,NA,9.59,95.6
S01,2018-05-21T11:38:00Z,N,Stormwater,NA,NA,NA,9.54,95.2
S01,2017-05-05T17:00:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T11:37:00Z,N,Stormwater,58.8,7.28,NA,10.45,99.5
S01,2017-05-07T11:40:00Z,N,Stormwater,NA,NA,NA,NA,NA
S01,2017-05-07T11:42:00Z,N,Stormwater,60,7.28,NA,10.45,99.6
S01,2015-06-01T12:40:00Z,FD,Stormwater,NA,NA,NA,NA,NA
S01,2015-06-01T12:40:00Z,N,Stormwater,145,7.07,37.7,8.74,NA
